question,answer,question_vi,answer_vi
Which script was the Code of Hammurabi engraved onto stone in?,Cuneiform,Bộ luật Hammurabi được khắc trên đá bằng chữ viết nào?,chữ hình nêm
"Which sculpture was once described by Mark Twain as the “the most mournful and moving piece of stone in the world""?",The Lion of Lucerne,Tác phẩm điêu khắc nào từng được Mark Twain mô tả là “tảng đá đau buồn và cảm động nhất trên thế giới”?,Sư tử Lucerne
Which star played in both the 1994 and 2010 World Cup?,Rigobert Song,Ngôi sao nào đã chơi ở cả World Cup 1994 và 2010?,Bài hát Rigobert
Which star was the oldest player to score a goal in the World Cup?,Roger Milla,Ngôi sao nào là cầu thủ lớn tuổi nhất ghi bàn ở World Cup?,Roger Milla
Which state created the earliest form of paper money?,Ancient China,Bang nào đã tạo ra hình thức tiền giấy sớm nhất?,Trung Quốc cổ đại
Which state is home to the Walt Disney Company?,California,Tiểu bang nào là trụ sở của Công ty Walt Disney?,California
Which state was the first to invent and use papyrus as a writing material?,Egypt,Bang nào phát minh và sử dụng giấy cói đầu tiên làm vật liệu viết?,Ai Cập
Which team has only played a single match in the World Cup?,Indonesia,Đội nào chỉ chơi một trận duy nhất ở World Cup?,Indonesia
Which team made their World Cup debut in 2022?,Qatar,Đội nào ra mắt World Cup vào năm 2022?,Qatar
Which team was the only former World Cup winner to fail to qualify for the 2022 World Cup?,Italy,Đội nào là cựu vô địch World Cup duy nhất không đủ điều kiện tham dự World Cup 2022?,Ý
Which team won 4th place in the 2018 World Cup?,England,Đội nào giành vị trí thứ 4 tại World Cup 2018?,nước Anh
Which technology comes right before Heavy Cavalry?,Scale Armor,Công nghệ nào có trước Kỵ binh hạng nặng?,Giáp vảy
Which technology comes right before Pavise?,Bodkin Arrows,Công nghệ nào có trước Pavise?,Mũi tên Bodkin
Which technology comes right before Swordsman?,Iron Working,Công nghệ nào xuất hiện ngay trước Swordsman?,Gia công sắt
Which three countries will host the 2026 World Cup?,"USA, Canada, and Mexico",Ba quốc gia nào sẽ đăng cai World Cup 2026?,"Hoa Kỳ, Canada và Mexico"
"Which title did Pierre de Coubertin, founder of the International Olympic Committee, hold?",Baron,"Pierre de Coubertin, người sáng lập Ủy ban Olympic quốc tế, đã giữ danh hiệu gì?",Nam tước
"Which tribe claims ownership of the Takra Forest, which must be traversed to reach the Kingdom of Karaku?",The Bloodfury clan,Bộ tộc nào tuyên bố quyền sở hữu Rừng Takra và phải đi qua để đến Vương quốc Karaku?,Gia tộc Bloodfury
Which trio of strikers comes from 3 different countries?,"Messi, Suarez, Neymar",Bộ ba tiền đạo nào đến từ 3 quốc gia khác nhau?,"Messi, Suarez, Neymar"
Which troop type receives a boost from the Hidden Lotus decoration?,Cavalry,Loại quân nào nhận được sự tăng cường từ trang trí Hidden Lotus?,kỵ binh
Which troop types will receive a boost from the Easter Party city theme?,Archer,Loại quân nào sẽ nhận được sự tăng cường từ chủ đề thành phố trong Bữa tiệc Phục sinh?,Cung thủ
Which two animals symbolically decorated the pschent double crown worn by the Pharaohs?,The cobra and vulture,Hai con vật nào được trang trí tượng trưng trên chiếc vương miện đôi pschent mà các Pharaoh đội?,Rắn hổ mang và kền kền
Which two bodies of water does the Suez Canal connect?,"Mediterranean Sea, Red Sea",Kênh đào Suez nối hai vùng nước nào?,"Biển Địa Trung Hải, Biển Đỏ"
Which two cities does Portugal’s Dom Luís I Bridge connect?,"Porto, Vila Nova de Gaia",Cầu Dom Luís I của Bồ Đào Nha kết nối hai thành phố nào?,"Porto, Vila Nova de Gaia"
Which two English players scored in the 1966 World Cup Final between England and Germany?,Martin Peters & Geoff Hurst,Hai cầu thủ người Anh nào đã ghi bàn trong trận chung kết World Cup 1966 giữa Anh và Đức?,Martin Peters & Geoff Hurst
Which two oceans does the Panama Canal connect?,The Pacific and Atlantic Oceans,Kênh đào Panama nối liền hai đại dương nào?,Thái Bình Dương và Đại Tây Dương
Which two sides fought each other in the Battle of Mikatagahara?,Takeda Shingen and Tokugawa Ieyasu,Hai bên nào đã giao chiến với nhau trong trận Mikatagahara?,Takeda Shingen và Tokugawa Ieyasu
Which two teams made their World Cup debuts in 2018?,Iceland & Panama,Hai đội nào đã ra mắt World Cup vào năm 2018?,Iceland & Panama
Which type of holy sites grant troop attack bonuses?,Flame Altar,Loại thánh địa nào cấp tiền thưởng tấn công quân đội?,Bàn thờ lửa
Which type of natural disaster is measured using the Richter scale?,Earthquake,Loại thiên tai nào được đo bằng thang Richter?,Động đất
Which type of stone did the ancient Egyptians extract mainly from the Nile delta?,Limestone,Loại đá nào được người Ai Cập cổ đại khai thác chủ yếu từ đồng bằng sông Nile?,Đá vôi
"Which unit gains a strong benefit from Sun Tzu’s “Master Strategist"" skill?",Infantry,Đơn vị nào được hưởng lợi lớn từ kỹ năng “Chiến lược gia bậc thầy” của Tôn Tử?,bộ binh
Which unit type does Cao Cao excel in leading?,Cavalry,Tào Tháo xuất sắc dẫn đầu loại đơn vị nào?,kỵ binh
Which unit type is strong against Archers?,Cavalry,Loại đơn vị nào mạnh hơn khi chống lại Cung thủ?,kỵ binh
Which unit type is strong against Cavalry?,Infantry,Loại đơn vị nào mạnh hơn khi chống lại Kỵ binh?,bộ binh
Which unit type is strong against Infantry?,Archers,Loại đơn vị nào mạnh hơn Bộ binh?,Cung thủ
Which vitamin deficiency can cause night blindness?,Vitamin A,Thiếu vitamin nào có thể gây quáng gà?,Vitamin A
Which war ended the rule of the House of Plantagenet and began the rule of the Tudors in England?,The Wars of the Roses,Cuộc chiến nào đã chấm dứt sự cai trị của Nhà Plantagenet và bắt đầu sự cai trị của Nhà Tudor ở Anh?,Cuộc chiến hoa hồng
Which war was fought between the British houses of Lancaster and York for the throne of England?,The Wars of the Roses,Cuộc chiến nào đã diễn ra giữa nhà Lancaster và York của Anh để giành lấy ngai vàng nước Anh?,Cuộc chiến hoa hồng
Which was a lighthouse built after Macedonia conquered Egypt and was one of the seven wonders of the ancient world?,The Lighthouse of Alexandria,Ngọn hải đăng nào được xây dựng sau khi Macedonia chinh phục Ai Cập và là một trong bảy kỳ quan của thế giới cổ đại?,Ngọn Hải Đăng Alexandria
Which was the actor Charlie Chaplin’s first ever film?,Making a Living,Bộ phim đầu tiên của nam diễn viên Charlie Chaplin là gì?,Kiếm sống
Which were the two construction materials most heavily favored by the ancient Egyptian building industry?,Mudbricks and stone,Hai loại vật liệu xây dựng nào được ngành xây dựng Ai Cập cổ đại ưa chuộng nhất?,Gạch bùn và đá
"While Gutenberg introduced the printing press in Europe, his invention was influenced by which country, the first to develop a moveable type?",China,"Trong khi Gutenberg giới thiệu máy in ở châu Âu, phát minh của ông chịu ảnh hưởng của quốc gia nào, quốc gia đầu tiên phát triển máy in di động?",Trung Quốc
"Who “owns"" Easter Island?",Chile,Ai “sở hữu” Đảo Phục Sinh?,Chilê
"Who authored the novel “No Longer Human""?",Osamu Dazai,Ai là tác giả cuốn tiểu thuyết “Không còn là con người”?,Osamu Dazai
"Who authored the tragedy “Medea""?",Euripides,Ai là tác giả của bi kịch “Medea”?,Euripides
"Who came out the victor of the “Battle of Hastings""?",William the Conqueror,Ai là người chiến thắng trong “Trận chiến Hastings”?,William kẻ chinh phục
Who came up with the Trojan Horse idea? Who won the Trojan War?,Odysseus; The Greeks,Ai đã nghĩ ra ý tưởng Con ngựa thành Troy?Ai đã thắng trong cuộc chiến thành Troy?,Odysseus;người Hy Lạp
Who commanded the New Model Army founded by Parliament during the English Civil War?,Cromwell,Ai chỉ huy Quân đội Mẫu Mới do Quốc hội thành lập trong Nội chiến Anh?,Cromwell
"Who compiled the fairytales that eventually featured in the “Grimms’ Fairy Tales""?",The Brothers Grimm,Ai đã biên soạn những câu chuyện cổ tích mà cuối cùng được đưa vào “Truyện cổ Grimms”?,Anh em nhà Grimm
"Who conquered the “Kingdom of the Vandals and Alans"" in the Vandalic War?",Belisarius,Ai đã chinh phục “Vương quốc của những kẻ phá hoại và Alans” trong Chiến tranh phá hoại?,Belisarius
"Who created the famous sculpture “The Thinker""?",Auguste Rodin,Ai đã tạo ra tác phẩm điêu khắc nổi tiếng “Người suy tư”?,Auguste Rodin
Who defeated the Sphinx according to Greek legend?,Oedipus,Ai đã đánh bại Nhân Sư theo truyền thuyết Hy Lạp?,Oedipus
"Who designed the “Ottoman Cannon""?",Urban,"Ai đã thiết kế ""Pháo Cannon""?",thành thị
Who designed the current World Cup trophy?,Silvio Gazzaniga,Ai đã thiết kế chiếc cúp World Cup hiện tại?,Silvio Gazzaniga
"Who designed the Djoser, the first ancient pyramid featuring a stepped design?",Imhotep,"Ai đã thiết kế Djoser, kim tự tháp cổ đại đầu tiên có thiết kế bậc thang?",Imhotep
Who did Boudica lead the tribes of Britain in a revolt against?,The Roman Empire,Boudica đã lãnh đạo các bộ lạc ở Anh nổi dậy chống lại ai?,Đế chế La Mã
Who did France play in the quarterfinals of the 2006 World Cup in Germany?,Brazil,Pháp đã gặp ai ở tứ kết World Cup 2006 ở Đức?,Brazil
"Who directed the film “Spring in a Small Town""?",Fei Mu,Ai đạo diễn bộ phim “Mùa xuân ở phố nhỏ”?,Phí Mục
Who first implemented the Julian Calendar in Rome?,Julius Caesar,Ai là người đầu tiên thực hiện Lịch Julian ở Rome?,Julius Caesar
Who formed the First Triumvirate with Caesar and Pompey?,Crassus,Ai đã thành lập chế độ Tam hùng đầu tiên cùng với Caesar và Pompey?,Crassus
"Who founded the “Malacca Sultanate""?",Parameswara,Ai đã thành lập “Vương quốc Malacca”?,Parameswara
"Who founded the “Spanish Armada""?",Philip II,Ai đã thành lập “Hạm đội Tây Ban Nha”?,Philip II
Who founded the First Persian Empire?,Cyrus the Great,Ai đã thành lập Đế chế Ba Tư đầu tiên?,Cyrus Đại đế
Who founded the Joseon Dynasty?,Yi Seong-Gye,Ai là người sáng lập ra triều đại Joseon?,Yi Seong Gye
Who founded the Kamakura shogunate?,Minamoto no Yoritomo,Ai là người thành lập Mạc phủ Kamakura?,Minamoto no Yoritomo
Who founded the Kingdom of Asturias?,Pelagius,Ai đã thành lập Vương quốc Asturias?,Pelagius
"Who gave the famous “I Have a Dream"" speech?",Martin Luther King Jr.,Ai đã có bài phát biểu nổi tiếng “Tôi có một giấc mơ”?,Martin Luther King Jr.
"Who holds the record for most goals scored in a single World Cup, at 13 goals?",Just Fontaine,"Ai giữ kỷ lục ghi nhiều bàn thắng nhất trong một kỳ World Cup, với 13 bàn?",Chỉ là Fontaine
Who initiated the first Salt March?,Mahatma Gandhi,Ai đã khởi xướng Tháng Ba Muối đầu tiên?,Mahatma Gandhi
